date,股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2020-08-21,000001,1946.51,1914.0,1946.51,1897.75,1234517,1787278576.0,2.52,-0.91,-17.51,0.64
2020-08-24,000001,1920.26,1915.25,1946.51,1909.0,919449,1338031968.0,1.96,0.07,1.25,0.47
2020-08-25,000001,1927.76,1932.76,1944.01,1915.25,748320,1090756848.0,1.5,0.91,17.51,0.39
2020-08-26,000001,1932.76,1904.0,1934.01,1892.75,734118,1057274176.0,2.13,-1.49,-28.76,0.38
2020-08-27,000001,1907.75,1915.25,1915.25,1871.5,626667,895618656.0,2.3,0.59,11.25,0.32
2020-08-28,000001,1890.25,1999.02,2005.27,1890.25,2410400,3599035696.0,6.01,4.37,83.77,1.24
2020-08-31,000001,2020.27,1992.77,2067.78,1981.52,1797130,2760350320.0,4.32,-0.31,-6.25,0.93
2020-09-01,000001,1977.77,2000.27,2011.52,1967.76,813643,1228342736.0,2.2,0.38,7.5,0.42
2020-09-02,000001,1984.02,2022.77,2049.03,1984.02,1679383,2575966640.0,3.25,1.12,22.5,0.87
2020-09-03,000001,2022.77,1970.26,2024.02,1962.76,1279842,1919266720.0,3.03,-2.6,-52.51,0.66
2020-09-04,000001,1949.01,1977.77,1990.27,1932.76,909890,1353550816.0,2.92,0.38,7.51,0.47
2020-09-07,000001,1967.76,1975.26,2012.77,1961.51,1031377,1551971376.0,2.59,-0.13,-2.51,0.53
2020-09-08,000001,1982.77,2036.53,2036.53,1982.77,1407602,2154220784.0,2.72,3.1,61.27,0.73
2020-09-09,000001,2015.27,2009.02,2052.78,1999.02,1013572,1554005568.0,2.64,-1.35,-27.51,0.52
2020-09-10,000001,2022.77,2025.27,2042.78,2007.77,957092,1469402768.0,1.74,0.81,16.25,0.49
2020-09-11,000001,2005.27,1984.02,2020.27,1960.26,954236,1431844016.0,2.96,-2.04,-41.25,0.49
2020-09-14,000001,1984.02,2020.27,2020.27,1972.76,680251,1027508112.0,2.39,1.83,36.25,0.35
2020-09-15,000001,2007.77,2026.52,2042.78,2001.52,657133,1007999040.0,2.04,0.31,6.25,0.34
2020-09-16,000001,2022.77,2037.78,2050.28,2009.02,722415,1114667840.0,2.04,0.56,11.26,0.37
2020-09-17,000001,2050.28,2054.03,2072.78,2032.77,988216,1543414496.0,1.96,0.8,16.25,0.51
2020-09-18,000001,2060.28,2116.54,2119.04,2047.78,1373193,2186759088.0,3.47,3.04,62.51,0.71
2020-09-21,000001,2107.79,2090.28,2114.04,2071.53,896162,1418370976.0,2.01,-1.24,-26.26,0.46
2020-09-22,000001,2066.53,2054.03,2087.78,2031.52,867756,1354536272.0,2.69,-1.73,-36.25,0.45
2020-09-23,000001,2056.53,2061.53,2086.53,2046.53,599200,939763264.0,1.95,0.37,7.5,0.31
2020-09-24,000001,2056.53,1997.77,2059.03,1997.77,1061011,1623376208.0,2.97,-3.09,-63.76,0.55
2020-09-25,000001,2007.77,2006.52,2021.52,1996.52,614087,933035040.0,1.25,0.44,8.75,0.32
2020-09-28,000001,2006.52,2021.52,2029.02,1980.27,612711,932800768.0,2.43,0.75,15.0,0.32
2020-09-29,000001,2031.52,1957.76,2034.02,1952.76,1182374,1766848544.0,4.02,-3.15,-63.76,0.61
2020-09-30,000001,1957.76,2004.02,2016.52,1957.76,1217065,1838547600.0,3.0,2.36,46.26,0.63
2020-10-09,000001,2020.27,2005.27,2051.53,1999.02,900426,1376995904.0,2.62,0.06,1.25,0.46
2020-10-12,000001,2010.27,2095.29,2114.04,2009.02,1591347,2509002880.0,5.24,4.49,90.02,0.82
2020-10-13,000001,2095.29,2115.29,2121.54,2079.03,908819,1453986336.0,2.03,0.95,20.0,0.47
2020-10-14,000001,2112.79,2111.54,2122.79,2082.78,662562,1057937824.0,1.89,-0.18,-3.75,0.34
2020-10-15,000001,2132.79,2177.8,2222.81,2126.54,1600062,2654379584.0,4.56,3.14,66.26,0.82
2020-10-16,000001,2177.8,2245.31,2279.07,2175.3,2095614,3589229552.0,4.76,3.1,67.51,1.08
2020-10-19,000001,2270.31,2292.82,2370.33,2270.31,2016106,3571336000.0,4.45,2.12,47.51,1.04
2020-10-20,000001,2292.82,2300.32,2307.82,2264.06,960072,1673173360.0,1.91,0.33,7.5,0.49
2020-10-21,000001,2312.82,2346.58,2357.83,2274.07,1244560,2204040368.0,3.64,2.01,46.26,0.64
2020-10-22,000001,2350.33,2302.82,2420.34,2270.31,1890519,3342069008.0,6.39,-1.86,-43.76,0.97
2020-10-23,000001,2299.07,2374.08,2455.35,2299.07,1698502,3105623952.0,6.79,3.09,71.26,0.88
2020-10-26,000001,2382.83,2320.32,2394.09,2289.07,1175599,2085800592.0,4.42,-2.26,-53.76,0.61
2020-10-27,000001,2357.83,2327.82,2357.83,2295.32,1034865,1839243232.0,2.69,0.32,7.5,0.53
2020-10-28,000001,2327.82,2311.57,2345.33,2269.06,1205824,2125604544.0,3.28,-0.7,-16.25,0.62
2020-10-29,000001,2300.32,2329.07,2349.08,2276.57,846604,1498040944.0,3.14,0.76,17.5,0.44
2020-10-30,000001,2325.32,2326.57,2402.84,2307.82,1007804,1813064336.0,4.08,-0.11,-2.5,0.52
2020-11-02,000001,2314.07,2311.57,2364.08,2274.07,968453,1702741440.0,3.87,-0.64,-15.0,0.5
2020-11-03,000001,2321.57,2352.83,2400.34,2320.32,957869,1727488480.0,3.46,1.78,41.26,0.49
2020-11-04,000001,2401.59,2397.84,2417.84,2352.83,1247636,2275824960.0,2.76,1.91,45.01,0.64
2020-11-05,000001,2404.09,2320.32,2420.34,2300.32,1429469,2558562448.0,5.01,-3.23,-77.52,0.74
2020-11-06,000001,2321.57,2312.82,2326.57,2260.31,848782,1486492208.0,2.86,-0.32,-7.5,0.44
2020-11-09,000001,2316.57,2337.83,2357.83,2300.32,951424,1688807408.0,2.49,1.08,25.01,0.49
2020-11-10,000001,2357.83,2371.58,2420.34,2349.08,1021063,1854142816.0,3.05,1.44,33.75,0.53
2020-11-11,000001,2382.83,2334.08,2395.34,2307.82,940130,1677811472.0,3.69,-1.58,-37.5,0.48
2020-11-12,000001,2334.08,2315.32,2350.33,2289.07,677258,1197284176.0,2.62,-0.8,-18.76,0.35
2020-11-13,000001,2285.32,2255.31,2291.57,2194.05,1289189,2191492016.0,4.21,-2.59,-60.01,0.66
2020-11-16,000001,2242.81,2279.07,2286.57,2220.31,759857,1308190464.0,2.94,1.05,23.76,0.39
2020-11-17,000001,2280.32,2336.58,2349.08,2264.06,852931,1509511584.0,3.73,2.52,57.51,0.44
2020-11-18,000001,2330.32,2415.34,2420.34,2326.57,1373401,2508632640.0,4.01,3.37,78.76,0.71
2020-11-19,000001,2431.59,2464.1,2480.35,2395.34,1211741,2270476480.0,3.52,2.02,48.76,0.62
2020-11-20,000001,2461.6,2465.35,2481.6,2422.84,673919,1265262912.0,2.38,0.05,1.25,0.35
2020-11-23,000001,2464.1,2560.36,2560.36,2457.85,1165858,2252290576.0,4.16,3.85,95.01,0.6
2020-11-24,000001,2560.36,2527.86,2567.87,2504.1,678543,1313496144.0,2.49,-1.27,-32.5,0.35
2020-11-25,000001,2542.86,2490.35,2570.37,2489.1,552585,1068352016.0,3.21,-1.48,-37.51,0.28
2020-11-26,000001,2489.1,2545.36,2559.11,2486.6,639658,1240074384.0,2.91,2.21,55.01,0.33
2020-11-27,000001,2607.87,2570.37,2607.87,2530.36,753774,1479430640.0,3.05,0.98,25.01,0.39
2020-11-30,000001,2595.37,2575.37,2717.89,2556.61,1581441,3213680464.0,6.27,0.19,5.0,0.81
2020-12-01,000001,2570.37,2614.12,2671.63,2532.86,1263720,2516010784.0,5.39,1.5,38.75,0.65
2020-12-02,000001,2599.12,2561.61,2615.37,2547.86,889385,1758639184.0,2.58,-2.01,-52.51,0.46
2020-12-03,000001,2580.37,2550.36,2590.37,2504.1,714452,1393085024.0,3.37,-0.44,-11.25,0.37
2020-12-04,000001,2541.61,2520.36,2541.61,2479.1,891348,1707639072.0,2.45,-1.18,-30.0,0.46
2020-12-07,000001,2521.61,2471.6,2531.61,2442.84,873807,1655173472.0,3.52,-1.93,-48.76,0.45
2020-12-08,000001,2472.85,2446.59,2486.6,2424.09,719648,1345951728.0,2.53,-1.01,-25.01,0.37
2020-12-09,000001,2456.6,2446.59,2489.1,2442.84,677221,1277484448.0,1.89,0.0,0.0,0.35
2020-12-10,000001,2449.09,2439.09,2467.85,2414.09,607867,1130916256.0,2.2,-0.31,-7.5,0.31
2020-12-11,000001,2446.59,2422.84,2457.85,2385.33,887794,1642392320.0,2.97,-0.67,-16.25,0.46
2020-12-14,000001,2432.84,2467.85,2490.35,2420.34,835992,1575396016.0,2.89,1.86,45.01,0.43
2020-12-15,000001,2457.85,2450.35,2464.1,2376.58,788858,1458268624.0,3.55,-0.71,-17.5,0.41
2020-12-16,000001,2457.85,2484.1,2495.35,2430.34,689070,1302133808.0,2.65,1.38,33.75,0.36
2020-12-17,000001,2471.6,2476.6,2491.6,2432.84,686141,1294658304.0,2.37,-0.3,-7.5,0.35
2020-12-18,000001,2482.85,2402.84,2495.35,2386.58,1058756,1959764080.0,4.39,-2.98,-73.76,0.55
2020-12-21,000001,2395.34,2392.84,2437.84,2361.58,906878,1662649808.0,3.17,-0.42,-10.0,0.47
2020-12-22,000001,2402.84,2345.33,2439.09,2342.83,1028738,1873638736.0,4.02,-1.99,-47.51,0.53
2020-12-23,000001,2352.83,2357.83,2366.58,2331.58,750083,1345650736.0,1.49,0.53,12.5,0.39
2020-12-24,000001,2376.58,2390.33,2419.09,2364.08,632950,1155767280.0,2.33,1.38,32.5,0.33
2020-12-25,000001,2390.33,2362.83,2390.33,2332.83,577077,1038128192.0,2.41,-1.15,-27.5,0.3
2020-12-28,000001,2360.33,2464.1,2465.35,2352.83,1270337,2352947328.0,4.76,4.29,101.27,0.65
2020-12-29,000001,2466.6,2504.1,2520.36,2445.34,963092,1837947232.0,3.04,1.62,40.0,0.5
